method,time,rms_w2,standard_error,mean_runtime_seconds
B=16,3.072,1.726918859637549,0.021778393861587655,0.03491761491666997
B=16,3.148,1.6938960741000415,0.02226249473955345,0.03491761491666997
B=16,3.224,1.6553797020952614,0.022390999333120633,0.03491761491666997
B=16,3.3000000000000003,1.635668349818371,0.022775665065518005,0.03491761491666997
B=16,3.372,1.607146037725167,0.022477902875278358,0.03491761491666997
B=16,3.448,1.5754315654503714,0.024352615539943244,0.03491761491666997
B=16,3.524,1.536938114484081,0.024050592153121532,0.03491761491666997
B=16,3.6,1.505964235933813,0.022788935878686765,0.03491761491666997
B=16,3.672,1.4773599231840877,0.022925096473650625,0.03491761491666997
B=16,3.748,1.439505967043082,0.02353361900636133,0.03491761491666997
B=16,3.8240000000000003,1.4228385676140125,0.025462984310375945,0.03491761491666997
B=16,3.9,1.3943453101997478,0.025198272422668793,0.03491761491666997
B=16,3.972,1.3539648588023476,0.024300178197909538,0.03491761491666997
B=16,4.048,1.3260469380308013,0.0253799148087773,0.03491761491666997
B=16,4.124,1.293478092289,0.025545897559088055,0.03491761491666997
B=16,4.2,1.2679290202342266,0.027173853814294442,0.03491761491666997
B=16,4.272,1.2464345781470179,0.028667178524584117,0.03491761491666997
B=16,4.348,1.2190218781022022,0.027237696388563083,0.03491761491666997
B=16,4.424,1.1996180401431316,0.02826630734408615,0.03491761491666997
B=16,4.5,1.1653880642921888,0.02921539077169758,0.03491761491666997
B=16,4.572,1.1473674117499681,0.028508208388797265,0.03491761491666997
B=16,4.648,1.1330253243842812,0.02706474121924063,0.03491761491666997
B=16,4.724,1.1033879571924166,0.02711648956432933,0.03491761491666997
B=16,4.8,1.0868175525066492,0.02730154548341782,0.03491761491666997
B=16,4.872,1.0667858909548178,0.025909800177411745,0.03491761491666997
B=16,4.948,1.0433370834138913,0.024563697227853322,0.03491761491666997
B=16,5.024,1.0209513166883528,0.024795476930867276,0.03491761491666997
B=16,5.1000000000000005,0.9963230082634951,0.024654226376262675,0.03491761491666997
B=16,5.172,0.9775968111344397,0.024215480373934985,0.03491761491666997
B=16,5.248,0.9565888450092768,0.025142565410005976,0.03491761491666997
B=16,5.324,0.9288004608845583,0.02391506260756045,0.03491761491666997
B=16,5.4,0.9046036414806171,0.024528638752107305,0.03491761491666997
B=16,5.472,0.8898161406006527,0.023349909563828746,0.03491761491666997
B=16,5.548,0.8658716879594236,0.025210288320964794,0.03491761491666997
B=16,5.6240000000000006,0.8393551072614164,0.02419302373930977,0.03491761491666997
B=16,5.7,0.8201431840055579,0.024855795749655577,0.03491761491666997
B=16,5.772,0.8073747021602087,0.024762864368269105,0.03491761491666997
B=16,5.848,0.794593238169358,0.025708169310184135,0.03491761491666997
B=16,5.924,0.782975191235968,0.025770145868052933,0.03491761491666997
B=16,6.0,0.7663130383222868,0.02809278242342141,0.03491761491666997
full empirical drift,0.0,4.7334669660915205,0.004078702296226151,0.034581358000006425
full empirical drift,0.07200000000000001,4.449534917814124,0.006850233584520049,0.034581358000006425
full empirical drift,0.148,4.214258675308367,0.007668426895521688,0.034581358000006425
full empirical drift,0.224,4.0186767903446725,0.005444891179246884,0.034581358000006425
full empirical drift,0.3,3.855823658064629,0.006216459079841777,0.034581358000006425
full empirical drift,0.372,3.7202090029890704,0.006156319175496051,0.034581358000006425
full empirical drift,0.448,3.6000534786004086,0.005546018603702012,0.034581358000006425
full empirical drift,0.524,3.495844799329675,0.005893851364112394,0.034581358000006425
full empirical drift,0.6,3.401060928420721,0.0059666724715049515,0.034581358000006425
full empirical drift,0.672,3.316908293188168,0.006496783658098526,0.034581358000006425
full empirical drift,0.748,3.2371331257809977,0.009008731383082707,0.034581358000006425
full empirical drift,0.8240000000000001,3.170136021109935,0.010670728406766061,0.034581358000006425
full empirical drift,0.9,3.090526517738147,0.012896335329924409,0.034581358000006425
full empirical drift,0.972,3.0196716936285704,0.011837137025857824,0.034581358000006425
full empirical drift,1.048,2.9578132427196766,0.011771142101696542,0.034581358000006425
full empirical drift,1.124,2.8896117098110943,0.011468539794380743,0.034581358000006425
full empirical drift,1.2,2.837257525486198,0.012444339091819889,0.034581358000006425
full empirical drift,1.272,2.7759706184400503,0.01459607173656338,0.034581358000006425
full empirical drift,1.348,2.716409208289467,0.013185869078431,0.034581358000006425
full empirical drift,1.424,2.6588640857130534,0.013010954810718338,0.034581358000006425
full empirical drift,1.5,2.607493664530533,0.013141555907734793,0.034581358000006425
full empirical drift,1.572,2.5491642108810777,0.015173710667091342,0.034581358000006425
full empirical drift,1.6480000000000001,2.4908618253956627,0.01619610984373318,0.034581358000006425
full empirical drift,1.724,2.440033183326605,0.016350236176922828,0.034581358000006425
full empirical drift,1.8,2.388190127317831,0.018438855274296007,0.034581358000006425
full empirical drift,1.872,2.340223802715081,0.01834982471449502,0.034581358000006425
full empirical drift,1.948,2.2927860275925718,0.020765305521356258,0.034581358000006425
full empirical drift,2.024,2.249822835125571,0.01928531560765669,0.034581358000006425
full empirical drift,2.1,2.207419338196794,0.020799056841708095,0.034581358000006425
full empirical drift,2.172,2.168779006703979,0.02289085177908404,0.034581358000006425
full empirical drift,2.248,2.123732984254653,0.02237947120644594,0.034581358000006425
full empirical drift,2.324,2.0856778434873076,0.021964730745355893,0.034581358000006425
full empirical drift,2.4,2.0466241838758323,0.02269128489390997,0.034581358000006425
full empirical drift,2.472,2.005979313824356,0.024536899900321638,0.034581358000006425
full empirical drift,2.548,1.973028832871527,0.02198377833470933,0.034581358000006425
